mean_speed,std_speed,max_speed,mean_accelerator,std_accelerator,max_accelerator,mean_brake,max_brake,tempo_con_freno,mean_rpm,std_rpm,gear_changes,mean_fuelRate,max_fuelRate,distance_traveled,duration_sec,IDS,stile_guida
0.599,1.351,5.607,1.024,1.391,1.214,0.277,1.184,0.379,0.896,1.32,13,0.67,1.014,11.998,846,0.312,calmo
0.666,1.062,3.886,0.904,1.028,0.844,1.306,0.578,0.666,0.529,0.693,22,1.494,0.328,11.676,477,0.307,calmo
1.301,0.145,2.89,1.378,0.811,0.627,0.989,0.438,0.32,1.124,0.471,17,0.19,0.685,12.885,524,0.873,aggressivo
0.852,0.257,8.593,1.075,0.356,0.122,0.58,0.29,0.158,0.558,0.881,13,0.973,0.115,7.04,685,0.186,calmo
1.231,0.665,3.576,0.281,1.144,1.289,1.283,0.432,0.321,1.127,0.614,19,0.756,1.074,3.672,680,0.859,aggressivo
0.661,0.531,6.142,0.912,0.31,1.384,0.955,0.452,0.256,1.155,0.481,14,0.291,1.196,11.246,684,0.57,medio
1.051,0.463,0.992,0.634,0.895,1.027,0.133,1.284,0.334,0.599,1.353,3,0.73,1.445,10.692,435,0.704,medio
1.289,0.989,6.954,0.546,1.465,0.321,0.379,0.652,0.455,0.682,0.151,17,0.656,0.909,7.78,697,0.883,aggressivo
0.126,0.838,7.123,0.398,1.209,0.456,0.391,1.454,0.826,0.573,1.311,26,0.761,0.415,7.02,654,0.237,calmo
0.516,0.765,2.502,1.062,0.954,1.464,0.766,1.407,0.631,0.559,1.313,16,0.46,1.239,13.481,541,0.805,aggressivo
1.079,0.412,7.004,1.087,0.501,1.477,1.332,0.694,0.692,0.384,1.035,23,0.733,0.632,11.057,524,0.578,medio
0.213,0.674,3.264,1.116,0.461,1.289,0.837,0.832,0.573,1.287,0.97,18,0.173,1.368,9.304,766,0.864,aggressivo
1.403,1.097,1.654,0.857,0.444,1.381,1.293,0.273,0.243,0.782,0.706,16,0.985,0.67,12.002,845,0.828,aggressivo
0.193,1.059,7.244,0.178,0.132,0.416,0.569,1.036,0.933,0.283,0.116,20,1.309,0.468,10.428,828,0.327,calmo
1.468,0.697,9.108,0.932,1.351,0.383,0.401,0.704,0.464,0.888,1.097,5,0.996,0.97,8.895,950,0.363,calmo
1.268,1.251,6.656,0.909,1.11,0.589,1.318,1.462,0.447,1.208,1.314,14,0.891,0.921,13.013,964,0.798,aggressivo
1.124,0.499,3.997,0.461,0.556,0.633,0.336,0.559,0.246,0.236,0.397,6,0.55,0.87,11.302,376,0.247,calmo
1.223,0.356,2.442,0.368,1.343,0.384,0.949,0.189,0.114,0.157,0.353,27,0.977,1.3,13.519,847,0.612,medio
1.42,0.913,3.631,1.498,1.196,1.206,1.02,0.233,0.107,0.669,0.889,11,1.383,0.19,4.233,742,0.978,aggressivo
0.531,0.258,8.939,1.197,1.104,0.643,0.595,1.222,0.492,0.128,0.668,29,0.832,1.335,11.478,943,0.622,medio
0.16,0.814,6.699,0.227,1.128,1.289,0.541,1.371,0.767,1.228,0.122,7,0.292,1.431,12.45,583,0.64,medio
1.148,1.438,0.055,1.38,0.242,1.489,0.467,0.976,0.345,0.69,0.796,10,1.216,0.455,11.153,891,0.782,aggressivo
0.785,0.764,9.304,0.613,0.361,0.697,0.81,0.95,0.639,0.107,1.285,29,0.767,0.876,14.776,948,0.273,calmo
0.597,0.327,0.167,0.776,0.65,0.71,0.133,0.426,0.395,1.42,1.081,26,0.698,1.314,4.008,445,0.622,medio
1.353,0.402,1.548,0.761,0.636,0.806,0.122,0.477,0.777,0.33,1.297,21,0.182,1.034,3.545,395,0.366,calmo
1.268,0.844,6.681,0.446,0.581,0.87,1.107,1.227,0.095,0.374,0.841,20,0.443,0.322,3.754,414,0.335,calmo
0.958,0.203,4.12,0.373,0.846,0.964,1.25,0.227,0.047,1.217,0.345,3,1.003,1.439,12.372,345,0.709,aggressivo
0.692,0.428,8.178,1.064,1.028,0.368,1.449,1.242,0.827,0.433,0.136,6,0.326,0.622,6.712,911,0.378,calmo
0.541,0.611,1.497,0.551,1.286,0.922,1.001,0.445,0.366,1.187,0.486,18,1.378,0.75,7.518,684,0.275,calmo
0.784,1.222,4.062,1.471,1.022,1.288,0.721,0.532,0.866,1.101,0.943,3,1.132,0.206,13.607,916,0.337,calmo
0.498,0.851,1.517,0.834,0.49,1.227,0.255,1.372,0.849,0.452,0.768,23,0.868,0.128,6.481,752,0.616,medio

